,0
1233,hatchback
1234,sedan
1235,nan
1236,suv
1237,suv
1238,nan
1239,minivan
1240,sedan
1241,sedan
1242,minivan
1243,suv
1244,sedan
1245,suv
1246,sedan
1247,suv
1248,suv
1249,suv
1250,hatchback
1251,sedan
1252,universal
1253,sedan
1254,sedan
1255,sedan
1256,sedan
1257,sedan
1258,suv
1259,minivan
1260,hatchback
1261,suv
1262,hatchback
1263,suv
1264,sedan
1265,suv
1266,sedan
1267,sedan
1268,suv
1269,sedan
1270,suv
1271,suv
1272,sedan
1273,suv
1274,sedan
1275,hatchback
1276,hatchback
1277,sedan
1278,sedan
1279,hatchback
1280,sedan
1281,suv
1282,suv
1283,suv
1284,universal
1285,suv
1286,suv
1287,universal
1288,sedan
1289,sedan
1290,hatchback
1291,suv
1292,suv
1293,hatchback
1294,universal
1295,suv
1296,minivan
1297,suv
1298,minivan
1299,hatchback
1300,hatchback
1301,sedan
1302,suv
1303,sedan
1304,suv
1305,suv
1306,suv
1307,sedan
1308,universal
1309,minivan
1310,minivan
1311,nan
1312,sedan
1313,hatchback
1314,minivan
1315,hatchback
1316,hatchback
1317,hatchback
1318,hatchback
1319,suv
1320,minivan
1321,suv
1322,hatchback
1323,suv
1324,suv
1325,sedan
1326,suv
1327,nan
1328,suv
1329,minivan
1330,suv
1331,hatchback
1332,sedan
1333,suv
1334,universal
1335,suv
1336,sedan
1337,sedan
1338,sedan
1339,suv
1340,sedan
1341,suv
1342,sedan
1343,sedan
1344,universal
1345,minivan
1346,sedan
1347,suv
1348,sedan
1349,suv
1350,suv
1351,minivan
1352,hatchback
1353,sedan
1354,hatchback
1355,sedan
1356,sedan
1357,sedan
1358,universal
1359,sedan
1360,suv
1361,sedan
1362,suv
1363,sedan
1364,hatchback
1365,sedan
1366,sedan
1367,suv
1368,sedan
1369,sedan
1370,universal
1371,minivan
1372,hatchback
1373,hatchback
1374,sedan
1375,minivan
1376,sedan
1377,universal
1378,sedan
1379,hatchback
1380,hatchback
1381,suv
1382,universal
1383,sedan
1384,universal
1385,sedan
1386,suv
1387,hatchback
1388,sedan
1389,sedan
1390,suv
1391,sedan
1392,minivan
1393,suv
1394,suv
1395,minivan
1396,universal
1397,hatchback
1398,suv
1399,suv
1400,suv
1401,suv
1402,minivan
1403,universal
1404,suv
1405,suv
1406,hatchback
1407,suv
1408,minivan
1409,suv
1410,universal
1411,suv
1412,hatchback
1413,sedan
1414,sedan
1415,universal
1416,sedan
1417,hatchback
1418,universal
1419,suv
1420,hatchback
1421,universal
1422,suv
1423,universal
1424,hatchback
1425,sedan
1426,sedan
1427,suv
1428,sedan
1429,sedan
1430,hatchback
1431,hatchback
1432,sedan
1433,suv
1434,suv
1435,suv
1436,hatchback
1437,hatchback
1438,sedan
1439,sedan
1440,hatchback
1441,suv
1442,suv
1443,sedan
1444,hatchback
1445,universal
1446,minivan
1447,sedan
1448,suv
1449,sedan
1450,suv
1451,hatchback
1452,minivan
1453,suv
1454,suv
1455,sedan
1456,suv
1457,sedan
1458,suv
1459,suv
1460,sedan
1461,hatchback
1462,suv
1463,suv
1464,hatchback
1465,suv
1466,suv
1467,universal
1468,suv
1469,hatchback
1470,universal
1471,hatchback
1472,nan
1473,minivan
1474,suv
1475,sedan
1476,hatchback
1477,hatchback
1478,sedan
1479,universal
1480,suv
1481,suv
1482,suv
1483,suv
1484,universal
1485,suv
1486,suv
1487,hatchback
1488,hatchback
1489,suv
1490,suv
1491,hatchback
1492,suv
1493,hatchback
1494,sedan
1495,hatchback
1496,suv
1497,sedan
1498,sedan
1499,hatchback
1500,suv
1501,universal
1502,hatchback
1503,universal
1504,sedan
1505,minivan
1506,universal
1507,sedan
1508,hatchback
1509,hatchback
1510,hatchback
1511,hatchback
1512,sedan
1513,hatchback
1514,minivan
1515,suv
1516,hatchback
1517,hatchback
1518,hatchback
1519,suv
1520,hatchback
1521,suv
1522,suv
1523,sedan
1524,hatchback
1525,hatchback
1526,suv
1527,hatchback
1528,suv
1529,suv
1530,hatchback
1531,hatchback
1532,suv
1533,minivan
1534,suv
1535,universal
1536,suv
1537,minivan
1538,sedan
1539,sedan
1540,universal
1541,sedan
1542,sedan
1543,suv
1544,sedan
1545,universal
1546,sedan
1547,suv
1548,suv
1549,suv
1550,sedan
1551,universal
1552,suv
1553,suv
1554,suv
1555,minivan
1556,universal
1557,sedan
1558,sedan
1559,hatchback
1560,universal
1561,hatchback
1562,sedan
1563,sedan
1564,hatchback
1565,sedan
1566,suv
1567,minivan
1568,universal
1569,suv
1570,sedan
1571,hatchback
1572,sedan
1573,sedan
1574,universal
1575,suv
1576,hatchback
1577,universal
1578,sedan
1579,minivan
1580,suv
1581,suv
1582,hatchback
1583,sedan
1584,suv
1585,hatchback
1586,sedan
1587,hatchback
1588,sedan
1589,hatchback
1590,hatchback
1591,suv
1592,suv
1593,sedan
1594,hatchback
1595,sedan
1596,suv
1597,minivan
1598,sedan
1599,suv
1600,sedan
1601,hatchback
1602,suv
1603,suv
1604,universal
1605,suv
1606,sedan
1607,sedan
1608,sedan
1609,hatchback
1610,hatchback
1611,suv
1612,sedan
1613,minivan
1614,universal
1615,suv
1616,sedan
1617,universal
1618,sedan
1619,sedan
1620,sedan
1621,hatchback
1622,suv
1623,suv
1624,universal
1625,sedan
1626,suv
1627,suv
1628,suv
1629,universal
1630,suv
1631,minivan
1632,suv
1633,suv
1634,hatchback
1635,suv
1636,hatchback
1637,hatchback
1638,suv
1639,suv
1640,sedan
1641,suv
1642,suv
1643,sedan
1644,minivan
1645,hatchback
1646,suv
1647,suv
1648,suv
1649,hatchback
1650,suv
1651,minivan
1652,universal
1653,suv
1654,suv
1655,suv
1656,suv
1657,sedan
1658,suv
1659,suv
1660,sedan
1661,hatchback
1662,hatchback
1663,sedan
1664,suv
1665,suv
1666,suv
1667,sedan
1668,minivan
1669,sedan
1670,sedan
1671,suv
1672,hatchback
1673,universal
1674,universal
1675,suv
1676,suv
1677,suv
1678,suv
1679,sedan
1680,sedan
1681,sedan
1682,suv
1683,suv
1684,suv
1685,suv
1686,sedan
1687,suv
1688,hatchback
1689,suv
1690,sedan
1691,suv
1692,suv
1693,sedan
1694,sedan
1695,sedan
1696,suv
1697,suv
1698,suv
1699,suv
1700,sedan
1701,sedan
1702,hatchback
1703,hatchback
1704,sedan
1705,minivan
1706,suv
1707,sedan
1708,suv
1709,minivan
1710,hatchback
1711,suv
1712,hatchback
1713,hatchback
1714,minivan
1715,hatchback
1716,sedan
1717,universal
1718,sedan
1719,hatchback
1720,hatchback
1721,nan
1722,sedan
1723,minivan
1724,universal
1725,sedan
1726,sedan
1727,minivan
1728,universal
1729,hatchback
1730,sedan
1731,minivan
1732,minivan
1733,sedan
1734,minivan
1735,universal
1736,suv
1737,nan
1738,universal
1739,minivan
1740,nan
1741,universal
1742,hatchback
1743,nan
1744,hatchback
1745,nan
1746,universal
1747,minivan
1748,universal
1749,universal
1750,sedan
1751,nan
1752,suv
1753,universal
1754,sedan
