,0,1,2,3,4
284,Subaru,Impreza,automatic,silver,215000
285,Subaru,Impreza,mechanical,blue,190000
286,Subaru,Forester,automatic,other,170000
287,Subaru,Legacy,mechanical,black,150000
288,Subaru,Forester,automatic,violet,275471
289,Subaru,Legacy,automatic,white,225308
290,Subaru,Outback,automatic,green,233355
291,LADA,Vesta,automatic,grey,64400
292,LADA,Largus,mechanical,silver,78932
293,LADA,Vesta,mechanical,brown,46000
294,LADA,Largus,mechanical,black,30500
295,LADA,Vesta,automatic,red,35460
296,LADA,Vesta,mechanical,red,0
297,LADA,XRAY,mechanical,orange,0
298,LADA,Vesta,automatic,brown,55378
299,LADA,Vesta,automatic,orange,7610
300,LADA,Vesta,mechanical,blue,18000
301,LADA,Vesta,mechanical,black,75000
302,LADA,XRAY,mechanical,brown,40000
303,LADA,4x4,mechanical,grey,15228
304,LADA,XRAY,automatic,other,40000
305,LADA,4x4,mechanical,black,9000
306,LADA,Priora,mechanical,silver,115000
307,LADA,Priora,mechanical,black,73000
308,LADA,Vesta,automatic,red,38000
309,LADA,Vesta,mechanical,orange,13000
310,LADA,Priora,mechanical,white,106600
311,LADA,Priora,mechanical,grey,320552
312,LADA,Vesta,automatic,black,42500
313,LADA,Vesta,mechanical,grey,15500
314,LADA,Priora,mechanical,silver,76000
315,LADA,4x4,mechanical,blue,110000
316,LADA,Vesta,mechanical,white,53000
317,LADA,Vesta,mechanical,silver,25000
318,LADA,Largus,mechanical,other,135350
319,LADA,Vesta,automatic,black,94000
320,LADA,Granta,mechanical,other,43524
321,LADA,111,mechanical,other,256000
322,LADA,Granta,mechanical,red,0
323,LADA,XRAY,automatic,red,75000
324,LADA,4x4,mechanical,blue,131000
325,LADA,Vesta,mechanical,brown,49200
326,LADA,111,mechanical,red,123456
327,LADA,Kalina,mechanical,black,71000
328,LADA,4x4,mechanical,green,1111
329,LADA,Priora,mechanical,silver,170000
330,LADA,Vesta,mechanical,grey,3150
331,LADA,XRAY,automatic,black,2000
332,LADA,Largus,mechanical,silver,160000
333,LADA,Vesta,mechanical,grey,15700
334,LADA,Kalina,mechanical,other,198500
335,LADA,Kalina,mechanical,grey,19000
336,LADA,Kalina,mechanical,black,25997
337,LADA,Kalina,mechanical,grey,70000
338,LADA,Vesta,automatic,red,19800
339,LADA,Priora,mechanical,black,160000
340,LADA,Kalina,mechanical,silver,94000
341,LADA,Largus,mechanical,white,195000
342,LADA,Granta,mechanical,black,71000
343,LADA,Granta,mechanical,blue,112721
344,LADA,Granta,mechanical,grey,92
345,LADA,Vesta,mechanical,grey,151163
346,LADA,Vesta,mechanical,grey,44000
347,LADA,Vesta,mechanical,orange,47000
348,LADA,Vesta,automatic,orange,50000
349,LADA,Vesta,mechanical,black,90000
350,LADA,Largus,mechanical,white,85000
351,LADA,111,mechanical,red,359000
352,LADA,Vesta,mechanical,brown,17120
353,LADA,XRAY,mechanical,red,17000
354,LADA,Vesta,mechanical,silver,0
355,LADA,XRAY,mechanical,silver,22500
356,LADA,Largus,mechanical,grey,200000
357,LADA,112,mechanical,silver,240000
358,LADA,110,mechanical,other,12345
359,LADA,111,mechanical,other,133000
360,LADA,110,mechanical,green,123456
361,LADA,Vesta,mechanical,silver,13000
362,LADA,Vesta,automatic,red,8500
363,LADA,Priora,mechanical,other,97000
364,LADA,Vesta,mechanical,white,0
365,LADA,Vesta,mechanical,white,40000
366,LADA,Vesta,mechanical,red,15000
367,LADA,Vesta,mechanical,silver,35000
368,LADA,4x4,mechanical,blue,25800
369,LADA,4x4,mechanical,white,60000
370,LADA,Vesta,mechanical,orange,63081
371,LADA,Vesta,mechanical,orange,47900
372,LADA,Vesta,mechanical,silver,40000
373,LADA,Vesta,mechanical,white,109000
374,LADA,Vesta,automatic,brown,50000
375,LADA,4x4,mechanical,silver,66480
376,LADA,Largus,mechanical,grey,134000
377,LADA,Vesta,mechanical,red,26000
378,LADA,4x4,mechanical,yellow,20000
379,LADA,XRAY,mechanical,red,20792
380,LADA,Vesta,mechanical,brown,22500
381,LADA,Vesta,automatic,other,66000
382,LADA,Vesta,mechanical,grey,69000
383,LADA,XRAY,automatic,white,135000
384,LADA,4x4,mechanical,red,50000
385,LADA,Granta,mechanical,red,125000
386,LADA,Vesta,automatic,other,2300
387,LADA,Largus,mechanical,white,99000
388,LADA,Granta,mechanical,white,65000
389,LADA,4x4,mechanical,silver,120000
390,LADA,Vesta,mechanical,white,0
391,LADA,Largus,mechanical,other,206000
392,LADA,Largus,mechanical,white,148370
393,LADA,4x4,mechanical,blue,44000
394,LADA,Vesta,mechanical,red,29000
395,LADA,4x4,mechanical,green,60000
396,LADA,4x4,mechanical,grey,8957
397,LADA,XRAY,mechanical,black,37591
398,LADA,Largus,mechanical,silver,15000
399,LADA,Vesta,mechanical,white,44000
400,LADA,Granta,mechanical,grey,50100
401,LADA,Largus,mechanical,silver,199869
402,LADA,Vesta,automatic,red,55000
403,LADA,Kalina,mechanical,silver,81000
404,LADA,Granta,mechanical,white,38000
405,LADA,Kalina,mechanical,silver,53000
406,LADA,Granta,automatic,black,71000
407,LADA,Vesta,mechanical,red,15000
408,LADA,Vesta,mechanical,brown,10000
409,LADA,Vesta,mechanical,grey,20000
410,LADA,Largus,mechanical,other,30000
411,LADA,Granta,mechanical,silver,25000
412,LADA,Vesta,mechanical,red,8000
413,LADA,XRAY,mechanical,red,1550
414,LADA,Priora,mechanical,grey,155000
415,LADA,Largus,mechanical,silver,110000
416,LADA,Vesta,mechanical,black,45000
417,LADA,Vesta,mechanical,red,23900
418,LADA,Granta,mechanical,white,86000
419,LADA,Granta,mechanical,brown,12500
420,LADA,Priora,mechanical,blue,43000
421,LADA,Vesta,mechanical,brown,24000
422,LADA,XRAY,mechanical,silver,9000
423,LADA,Largus,mechanical,grey,170000
424,LADA,XRAY,automatic,silver,11600
425,LADA,XRAY,mechanical,silver,35000
426,LADA,Priora,mechanical,silver,40000
427,LADA,Priora,mechanical,silver,87000
428,LADA,Largus,mechanical,brown,71000
429,LADA,XRAY,mechanical,brown,10000
430,LADA,Granta,mechanical,black,24000
431,LADA,Largus,mechanical,brown,105000
432,LADA,XRAY,mechanical,silver,32000
433,LADA,Largus,mechanical,brown,2000
434,LADA,Granta,mechanical,silver,49000
435,LADA,Priora,mechanical,other,133000
436,LADA,Largus,mechanical,blue,120000
437,Dodge,Dart,automatic,blue,104000
438,Dodge,Stratus,automatic,green,220000
439,Dodge,Grand Caravan,automatic,red,170000
440,Dodge,Stratus,mechanical,grey,234567
441,Dodge,Caravan,automatic,white,402336
442,Dodge,Caravan,automatic,blue,248000
443,Dodge,Caravan,automatic,other,360000
444,Dodge,Intrepid,automatic,red,200000
445,Dodge,Dart,automatic,red,115000
446,Dodge,Intrepid,automatic,black,321869
447,Dodge,Caliber,automatic,silver,180000
448,Dodge,Intrepid,automatic,black,321869
449,Dodge,Neon,mechanical,orange,370149
450,Dodge,Neon,automatic,other,178000
451,Dodge,Magnum,automatic,red,312457
452,Dodge,Avenger,automatic,red,286549
453,Dodge,Caliber,mechanical,other,200500
454,Dodge,Neon,automatic,silver,170000
455,Dodge,Grand Caravan,automatic,white,73000
456,Dodge,Caravan,automatic,green,371758
457,Dodge,Caliber,automatic,silver,191512
458,Dodge,Caravan,automatic,silver,257973
459,Dodge,Caravan,automatic,blue,300000
460,Dodge,Caravan,automatic,silver,224094
461,Dodge,Caravan,automatic,silver,280000
462,Dodge,Caliber,automatic,silver,107826
463,Dodge,Intrepid,automatic,blue,230000
464,Dodge,Caravan,automatic,green,300000
465,Dodge,Caravan,automatic,blue,267151
466,Dodge,Caliber,automatic,blue,234964
467,Dodge,Stratus,mechanical,red,200000
468,Dodge,Caravan,automatic,green,284000
469,Dodge,Journey,automatic,silver,240000
470,Dodge,Durango,automatic,black,65000
471,Dodge,Caliber,automatic,red,175000
472,Dodge,Caravan,automatic,grey,200
473,Dodge,Caravan,automatic,white,229000
474,Dodge,Grand Caravan,automatic,other,234
475,Dodge,Grand Caravan,automatic,green,432914
476,Dodge,Stratus,automatic,grey,220480
477,Dodge,Caravan,mechanical,blue,300000
478,Dodge,Caravan,automatic,other,506943
479,Dodge,Stratus,automatic,silver,434523
480,Dodge,Caravan,automatic,orange,380000
481,Dodge,Caravan,automatic,other,300000
482,Dodge,Stratus,automatic,black,250000
483,Dodge,Stratus,automatic,silver,296119
484,Dodge,Caravan,mechanical,green,370149
485,Dodge,Caliber,automatic,other,191512
486,Dodge,Grand Caravan,automatic,yellow,263580
487,Dodge,Journey,automatic,black,207000
488,Dodge,Caliber,automatic,other,193266
489,Dodge,Caravan,automatic,white,250000
490,Dodge,Intrepid,automatic,violet,370000
491,Dodge,Stratus,automatic,green,138000
492,Dodge,Caravan,automatic,silver,230000
493,Dodge,Intrepid,automatic,other,370149
494,Dodge,Stratus,automatic,silver,346017
495,Dodge,Grand Caravan,automatic,white,280509
496,Dodge,Magnum,automatic,grey,190439
497,Dodge,Caliber,automatic,white,260000
498,Dodge,Van,automatic,blue,170000
499,Dodge,Grand Caravan,automatic,silver,276332
500,Dodge,Neon,mechanical,green,222222
